frame_idx,track_id,class_id,status,center_x,center_y,box_x1,box_y1,box_x2,box_y2,lost_frames
0,0,0,detected,151.74899291992188,284.0025863647461,0.0,199.1528778076172,303.49798583984375,368.852294921875,0
0,1,0,detected,1135.5956420898438,168.09308624267578,1069.852294921875,147.6220245361328,1201.3389892578125,188.56414794921875,0
0,2,2,detected,1009.7801208496094,179.24047088623047,990.2183227539062,144.36175537109375,1029.3419189453125,214.1191864013672,0
0,3,0,detected,464.5065002441406,181.09613800048828,447.7159118652344,168.61473083496094,481.2970886230469,193.57754516601562,0
0,4,1,detected,960.5179443359375,217.53053283691406,927.6669311523438,142.87176513671875,993.3689575195312,292.1893005371094,0
0,5,1,detected,585.9057312011719,226.26874542236328,552.607421875,149.2969207763672,619.2040405273438,303.2405700683594,0
0,6,1,detected,126.29430389404297,236.8856201171875,106.40884399414062,177.17892456054688,146.1797637939453,296.5923156738281,0
1,0,0,detected,151.70659550005686,284.02707573195005,0.0,199.2737274169922,303.39111328125,368.8399353027344,0
1,1,0,detected,1124.1921163020302,168.2934857310948,1055.870849609375,147.6138153076172,1186.5751953125,189.46014404296875,0
1,2,2,detected,1010.3503431441958,179.34272346628435,990.6293334960938,144.12452697753906,1030.3682861328125,214.8094024658203,0
1,3,0,detected,464.3468501082869,181.0758645243473,447.6577453613281,168.6453399658203,480.95281982421875,193.45712280273438,0
1,4,1,detected,973.6357932099088,216.94598783022684,932.5043334960938,142.59718322753906,1021.59814453125,289.8742980957031,0
1,5,1,detected,590.6503438910446,229.0400014808121,563.14306640625,152.8936767578125,620.6282958984375,311.92071533203125,0
1,6,1,detected,130.80916905770837,235.96723095913023,110.27485656738281,176.366455078125,153.69451904296875,293.33624267578125,0
2,0,0,detected,151.56841029860828,284.0375819790598,0.0,199.3873748779297,302.9250793457031,368.7250061035156,0
2,1,0,detected,1113.6719864948209,168.66103440368465,1041.217529296875,148.695556640625,1170.0306396484375,189.93301391601562,0
2,2,2,detected,1010.8068032839626,179.18073163194327,993.890869140625,145.5061492919922,1028.4208984375,212.27818298339844,0
2,3,0,detected,464.39755440066017,181.16788633788414,447.8382263183594,168.7425537109375,481.03509521484375,193.92080688476562,0
2,4,1,detected,978.28133247111,216.55406960186656,939.6759643554688,141.24557495117188,1023.970458984375,290.47198486328125,0
2,5,1,detected,591.8750619694756,231.91168931078323,565.4575805664062,155.53013610839844,620.15625,318.4927673339844,0
2,6,1,detected,135.3605145718789,235.19788355880667,119.17652130126953,175.5398406982422,158.50930786132812,292.1246032714844,0
3,0,0,detected,151.74838865590422,284.2842779511423,0.0,200.84237670898438,303.8312072753906,368.7708740234375,0
3,1,0,detected,1101.489889014169,169.40614887511072,1027.040283203125,150.45046997070312,1153.6214599609375,191.50962829589844,0
3,3,0,detected,464.5211144219868,181.55542601381802,447.8956604003906,170.03282165527344,481.3746643066406,194.71817016601562,0
3,4,1,detected,987.2515312184908,216.27167644164385,960.6582641601562,141.14857482910156,1030.3035888671875,290.2108459472656,0
3,5,1,detected,594.796693596054,233.86261578656615,573.2908325195312,162.52455139160156,621.6654663085938,313.3870544433594,0
