frame_idx,track_id,class_id,status,center_x_2d,center_y_2d,center_x_3d,center_y_3d,center_z_3d,box_x1,box_y1,box_x2,box_y2,lost_frames
0,0,0,detected,151.74899291992188,189.3350575764974,-0.8047651648521423,0.006982778199017048,1.235243320465088,0.0,199.1528778076172,303.49798583984375,368.852294921875,0
0,1,0,detected,1135.5956420898438,112.06205749511719,2.1344048976898193,-0.29791882634162903,2.8877484798431396,1069.852294921875,147.6220245361328,1201.3389892578125,188.56414794921875,0
0,2,2,detected,1009.7801208496094,119.49364725748698,1.0519264936447144,-0.17487947642803192,1.8749045133590698,990.2183227539062,144.36175537109375,1029.3419189453125,214.1191864013672,0
0,3,0,detected,464.5065002441406,120.73075866699219,-1.459546446800232,-0.6410170197486877,6.978152751922607,447.7159118652344,168.61473083496094,481.2970886230469,193.57754516601562,0
0,4,1,detected,960.5179443359375,145.02035522460938,1.4127470254898071,-0.1623847335577011,2.8725621700286865,927.6669311523438,142.87176513671875,993.3689575195312,292.1893005371094,0
0,5,1,detected,585.9057312011719,150.84583028157553,-0.4064421057701111,-0.5268693566322327,10.651705741882324,552.607421875,149.2969207763672,619.2040405273438,303.2405700683594,0
0,6,1,detected,126.29430389404297,157.92374674479166,-1.452479600906372,-0.08368195593357086,2.1147451400756836,106.40884399414062,177.17892456054688,146.1797637939453,296.5923156738281,0
1,0,0,detected,151.70659550005686,232.09801285702014,-0.15145523846149445,0.03252509608864784,0.23247037827968597,0.0,199.2737274169922,303.39111328125,368.8399353027344,0
1,1,0,detected,1124.1921163020302,137.5581443524556,1.501757025718689,-0.05015691742300987,2.087690591812134,1055.870849609375,147.6138153076172,1186.5751953125,189.46014404296875,0
1,2,2,detected,1010.3503431441958,146.5691146005219,0.9178836345672607,-0.013837442733347416,1.6318823099136353,990.6293334960938,144.12452697753906,1030.3682861328125,214.8094024658203,0
1,3,0,detected,464.3468501082869,147.96295221953986,-0.6578599810600281,-0.0177800003439188,3.1452560424804688,447.6577453613281,168.6453399658203,480.95281982421875,193.45712280273438,0
1,4,1,detected,973.6357932099088,177.17115034900263,0.31370264291763306,0.026643238961696625,0.6081483960151672,932.5043334960938,142.59718322753906,1021.59814453125,289.8742980957031,0
1,5,1,detected,590.6503438910446,187.6674067517665,-0.01742476038634777,0.03899827226996422,0.587126612663269,563.14306640625,152.8936767578125,620.6282958984375,311.92071533203125,0
1,6,1,detected,130.80916905770837,192.65337097394817,-0.5330749154090881,0.054304931312799454,0.7842010855674744,110.27485656738281,176.366455078125,153.69451904296875,293.33624267578125,0
2,0,0,detected,151.56841029860828,250.84629141994398,-0.15134257078170776,0.03250090032815933,0.23229745030403137,0.0,199.3873748779297,302.9250793457031,368.7250061035156,0
2,1,0,detected,1113.6719864948209,149.01604969465902,1.4473830461502075,-0.04697389155626297,2.0774033069610596,1041.217529296875,148.695556640625,1170.0306396484375,189.93301391601562,0
2,2,2,detected,1010.8068032839626,158.23295567930813,0.5488565564155579,-0.009629062376916409,0.9733526110649109,993.890869140625,145.5061492919922,1028.4208984375,212.27818298339844,0
2,3,0,detected,464.39755440066017,160.00323916883258,-0.6545804142951965,-0.017691362649202347,3.1295764446258545,447.8382263183594,168.7425537109375,481.03509521484375,193.92080688476562,0
2,4,1,detected,978.28133247111,191.13134647357623,0.3254193663597107,0.026456857100129128,0.624023973941803,939.6759643554688,141.24557495117188,1023.970458984375,290.47198486328125,0
2,5,1,detected,591.8750619694756,205.46773409935096,-0.018695903941988945,0.04860934615135193,0.6614556312561035,565.4575805664062,155.53013610839844,620.15625,318.4927673339844,0
2,6,1,detected,135.3605145718789,207.5131376301622,-0.5138462781906128,0.05203506723046303,0.7670772671699524,119.17652130126953,175.5398406982422,158.50930786132812,292.1246032714844,0
3,0,0,detected,151.74838865590422,261.8517210179974,-0.1566229611635208,0.033634867519140244,0.24040238559246063,0.0,200.84237670898438,303.8312072753906,368.7708740234375,0
3,1,0,detected,1101.489889014169,156.1289538485694,1.352652668952942,-0.04244726151227951,2.0023622512817383,1027.040283203125,150.45046997070312,1153.6214599609375,191.50962829589844,0
3,3,0,detected,464.5211144219868,167.2511568940601,-0.6543694734573364,-0.013264247216284275,3.128567934036255,447.8956604003906,170.03282165527344,481.3746643066406,194.71817016601562,0
3,4,1,detected,987.2515312184908,199.0895580496151,0.35874953866004944,0.02810048684477806,0.66279137134552,960.6582641601562,141.14857482910156,1030.3035888671875,290.2108459472656,0
3,5,1,detected,594.796693596054,215.9902908234421,-0.020700465887784958,0.0717616155743599,0.976502001285553,573.2908325195312,162.52455139160156,621.6654663085938,313.3870544433594,0
3,2,2,predicted,1010.8112268084786,158.33863008168709,0.5485968473821539,-0.03667485391804147,0.9733526110649109,0,0,0,0,1
