frame_idx,track_id,class_id,status,center_x_2d,center_y_2d,center_x_3d,center_y_3d,center_z_3d,box_x1,box_y1,box_x2,box_y2,lost_frames,kalman_x,kalman_z,kalman_vx,kalman_vz
0,0,0,detected,151.74899291992188,284.0025863647461,-1.8501182794570925,0.3973138928413391,2.8397676944732666,0.0,199.1528778076172,303.49798583984375,368.852294921875,0,-1.8501182794570925,2.8397676944732666,0.0,0.0
0,1,0,detected,1135.5956420898438,168.09308624267578,17.005937576293945,-0.5527742505073547,23.008224487304688,1069.852294921875,147.6220245361328,1201.3389892578125,188.56414794921875,0,17.005937576293945,23.008224487304688,0.0,0.0
0,2,2,detected,1009.7801208496094,179.24047088623047,7.275928020477295,-0.1099636405706405,12.96827220916748,990.2183227539062,144.36175537109375,1029.3419189453125,214.1191864013672,0,7.275928020477295,12.96827220916748,0.0,0.0
0,3,0,detected,464.5065002441406,181.09613800048828,-6.832855224609375,-0.1846717745065689,32.66816711425781,447.7159118652344,168.61473083496094,481.2970886230469,193.5775451660156,0,-6.832855224609375,32.66816711425781,0.0,0.0
0,4,1,detected,960.5179443359376,217.5305328369141,3.174515962600708,0.2919095158576965,6.454795837402344,927.6669311523438,142.87176513671875,993.3689575195312,292.1893005371094,0,3.174515962600708,6.454795837402344,0.0,0.0
0,5,1,detected,585.9057312011719,226.26874542236328,-0.2140183597803115,0.324990838766098,5.608819961547852,552.607421875,149.2969207763672,619.2040405273438,303.2405700683594,0,-0.2140183597803115,5.608819961547852,0.0,0.0
0,6,1,detected,126.29430389404295,236.8856201171875,0.0,0.0,0.0,106.40884399414062,177.17892456054688,146.1797637939453,296.5923156738281,0,,,,
1,0,0,detected,151.70659550005686,284.02707573195005,-1.8151875734329224,0.3898125290870666,2.7861521244049072,0.0,199.2737274169922,303.39111328125,368.8399353027344,0,-1.8460087393054756,2.8334599107773033,0.0020547443915035503,-0.003153852424826397
1,1,0,detected,1124.1921163020302,168.2934857310948,16.2022762298584,-0.5411368608474731,22.523841857910156,1055.870849609375,147.6138153076172,1186.5751953125,189.46014404296875,0,16.911388139784012,22.951237667087966,-0.047274127328374334,-0.02849305394518721
1,2,2,detected,1010.3503431441958,179.34272346628435,3.888698101043701,-0.0586235933005809,6.913618564605713,990.6293334960938,144.12452697753906,1030.3682861328125,214.8094024658203,0,6.877425987708803,12.968272088072897,-0.1992485257776735,-6.054653523467183e-08
1,3,0,detected,464.3468501082869,181.0758645243473,-6.832855224609375,-0.1846717745065689,32.66816711425781,447.6577453613281,168.6453399658203,480.9528198242187,193.4571228027344,0,-6.832855224609375,32.66816711425781,0.0,0.0
1,4,1,detected,973.6357932099088,216.94598783022684,3.3145947456359863,0.281513512134552,6.42572021484375,932.5043334960938,142.59718322753906,1021.59814453125,289.8742980957031,0,3.1909960011912473,6.451375138197034,0.008239916296315935,-0.0017103282235522447
1,5,1,detected,590.6503438910446,229.0400014808121,-0.1682225316762924,0.3764980137348175,5.6682515144348145,563.14306640625,152.8936767578125,620.6282958984375,311.92071533203125,0,-0.20863055587392074,5.615811986063271,0.002693868279841889,0.0034959685581028785
1,6,1,detected,130.80916905770837,235.96723095913023,-6.50802755355835,0.6629799008369446,9.573892593383787,110.2748565673828,176.366455078125,153.69451904296875,293.33624267578125,0,-6.50802755355835,9.573892593383787,0.0,0.0
2,0,0,detected,151.56841029860828,284.0375819790598,-1.8151875734329224,0.3898125290870666,2.7861521244049072,0.0,199.3873748779297,302.9250793457031,368.7250061035156,0,-1.8373489113008727,2.820167834320576,0.004748939900450527,-0.007289206230382286
2,1,0,detected,1113.6719864948209,168.66103440368465,15.21257209777832,-0.493714302778244,21.83433532714844,1041.217529296875,148.695556640625,1170.0306396484375,189.9330139160156,0,16.484902005005626,22.672833989257832,-0.20195366618907493,-0.13043091271409543
2,2,2,detected,1010.8068032839626,179.18073163194327,3.70115327835083,-0.0649325177073478,6.563695907592773,993.890869140625,145.5061492919922,1028.4208984375,212.27818298339844,0,5.994620292203901,12.968271707291173,-0.4780696224758613,-1.8864125159515096e-07
2,3,0,detected,464.39755440066017,181.16788633788417,-6.679880619049072,-0.1805373132228851,31.93678855895996,447.8382263183594,168.7425537109375,481.03509521484375,193.9208068847656,0,-6.797730589413707,32.50023463389169,0.014327242460624048,-0.06849919863413254
2,4,1,detected,978.28133247111,216.55406960186656,3.321000099182129,0.270000010728836,6.368348121643066,939.6759643554688,141.24557495117188,1023.970458984375,290.47198486328125,0,3.2271942995095695,6.430993612865542,0.019644063721751353,-0.009326258367889785
2,5,1,detected,591.8750619694756,231.91168931078323,-0.1600000113248825,0.4160000085830688,5.6607537269592285,565.4575805664062,155.53013610839844,620.15625,318.4927673339844,0,-0.19538912651263532,5.6288243552581845,0.0069961895463904675,0.007377682304494523
2,6,1,detected,135.3605145718789,235.19788355880667,-5.779742240905762,0.5852903723716736,8.628084182739258,119.17652130126952,175.5398406982422,158.50930786132812,292.1246032714844,0,-6.422345983534894,9.462619788402657,0.04284024950860883,-0.05563570704422667
